目录	名称	简介	用户名	领域	bot	状态
twitter	Oxford Nanopore	lease follow us at @nanopore	oxfordnanopore	生物学		废弃
twitter	Oxford Nanopore	"From portable to population scale, nanopore devices offer direct analysis of DNA/RNA in-real time — towards the analysis of anything by anyone, anywhere."	nanopore	生物学		
twitter	EMBL	The European Molecular Biology Laboratory drives visionary basic research and technology development in the life sciences. https://linkedin.com/company/embl	embl	生物学		
twitter	EMBL-EBI	"EMBL-EBI provides open biological data resources and tools, and performs basic research in computational biology. http://linkedin.com/company/ebi"	emblebi	生物学		
twitter	Genomics England	"We’re working to enable faster and deeper genomic research, to bring genomic healthcare to all who need it."	GenomicsEngland	生物学		
twitter	Wellcome Sanger Institute	We are a world leader in genomics research. We apply and explore genomic technologies to advance the understanding of biology and improve health.	sangerinstitute	生物学		
twitter	EMBL Events	"We are @embl events. Join our world-class courses, conferences and workshops at the forefront of molecular life science and its applications."	EMBLEvents	生物学		
twitter	UniProt	"UniProt is the central hub for the collection of functional information on proteins, with accurate, consistent and rich annotation."	uniprot	生物学		
twitter	EMBL-EBI Training	"Offering #bioinformatics training on-site at @emblebi, online, and at institutes around the world."	EBItraining	生物学		
twitter	10x Genomics	"Enabling researchers to answer biology’s hardest and most elusive questions with innovative #singlecell, #spatialbiology & #insitu technology"	10xGenomics	生物学		
twitter	Ensembl	"Ensembl Genome Browser offers open access integrated genome, gene, variation, gene regulation and comparative genomics data on a web browser platform, plus APIs"	ensembl	生物学		
twitter	Edico Genome	"Edico Genome is the developer of DRAGEN, the world's fastest NGS secondary analysis solution."	EdicoGenome	生物学		废弃
twitter	Ion Torrent	"Explore the technology that makes sequencing faster and more accessible. Part of @ThermoFisher, the world leader in serving science"	iontorrent	生物学		
twitter	NCBI	Official account of the National Center for Biotechnology Information at @NLM_NIH. Privacy: http://go.usa.gov/xHJ93 | Website help: info@ncbi.nlm.nih.gov	NCBI	生物学		
twitter	PacBio	Our mission is to enable the promise of #genomics to better human health by creating the world’s most advanced #sequencing technologies. #PacBio	PacBio	生物学		
twitter	Illumina	Dedicated to advancing human health by unlocking the power of the #genome.	illumina	生物学		
twitter	Broad Institute	"A unique, collaborative community pioneering a new model of biomedical science"	broadinstitute	生物学		
